clique,erdos-renyi,lattice (d=100),lattice (d=50),"watts-strogatz (d=50, p=3%)","watts-strogatz (d=50, p=5%)"
1.0,1.0,1.0,1.0,1.0,1.0
1.9666666666666666,2.0,2.0,2.0,1.9666666666666666,1.9333333333333333
2.966666666666667,2.966666666666667,2.966666666666667,2.966666666666667,2.933333333333333,2.933333333333333
3.933333333333333,3.966666666666667,3.8333333333333335,3.9,3.933333333333333,3.933333333333333
4.866666666666666,4.933333333333334,4.8,4.833333333333333,4.866666666666666,4.933333333333334
5.866666666666666,5.9,5.733333333333333,5.8,5.8,5.766666666666667
6.833333333333333,6.9,6.733333333333333,6.8,6.8,6.666666666666667
7.766666666666667,7.9,7.633333333333334,7.633333333333334,7.733333333333333,7.633333333333334
8.666666666666666,8.733333333333333,8.6,8.566666666666666,8.666666666666666,8.633333333333333
9.6,9.733333333333333,9.5,9.5,9.6,9.566666666666666
10.5,10.533333333333333,10.433333333333334,10.433333333333334,10.533333333333333,10.5
11.333333333333334,11.466666666666667,11.4,11.366666666666667,11.4,11.5
12.166666666666666,12.466666666666667,12.3,12.2,12.266666666666667,12.466666666666667
12.966666666666667,13.366666666666667,13.266666666666667,13.066666666666666,13.166666666666666,13.366666666666667
13.8,14.2,14.166666666666666,13.966666666666667,14.033333333333333,14.2
14.766666666666667,15.133333333333333,15.133333333333333,14.833333333333334,14.866666666666667,15.033333333333333
15.6,15.966666666666667,16.033333333333335,15.733333333333333,15.666666666666666,15.833333333333334
16.466666666666665,16.9,16.9,16.5,16.5,16.633333333333333
17.366666666666667,17.766666666666666,17.666666666666668,17.3,17.233333333333334,17.466666666666665
18.2,18.666666666666668,18.433333333333334,18.0,18.1,18.233333333333334
18.866666666666667,19.566666666666666,19.1,18.833333333333332,18.9,19.133333333333333
19.766666666666666,20.5,19.866666666666667,19.633333333333333,19.733333333333334,19.833333333333332
20.466666666666665,21.166666666666668,20.6,20.466666666666665,20.466666666666665,20.533333333333335
21.333333333333332,22.0,21.333333333333332,21.333333333333332,21.266666666666666,21.3
22.2,22.8,22.133333333333333,22.1,22.0,21.966666666666665
22.933333333333334,23.666666666666668,22.833333333333332,22.866666666666667,22.766666666666666,22.7
23.7,24.4,23.433333333333334,23.6,23.466666666666665,23.533333333333335
24.3,25.066666666666666,24.266666666666666,24.366666666666667,24.233333333333334,24.266666666666666
25.066666666666666,26.033333333333335,25.0,25.066666666666666,24.966666666666665,25.066666666666666
25.8,26.833333333333332,25.633333333333333,25.8,25.933333333333334,25.966666666666665
26.633333333333333,27.533333333333335,26.5,26.566666666666666,26.666666666666668,26.833333333333332
27.333333333333332,28.266666666666666,27.066666666666666,27.3,27.3,27.333333333333332
27.966666666666665,28.966666666666665,27.833333333333332,28.0,28.066666666666666,28.166666666666668
28.666666666666668,29.7,28.666666666666668,28.8,28.666666666666668,28.733333333333334
29.4,30.333333333333332,29.5,29.566666666666666,29.233333333333334,29.466666666666665
29.9,31.0,30.3,30.266666666666666,29.866666666666667,30.133333333333333
30.566666666666666,31.733333333333334,30.933333333333334,31.066666666666666,30.666666666666668,30.8
31.266666666666666,32.4,31.7,31.7,31.433333333333334,31.533333333333335
32.03333333333333,33.0,32.266666666666666,32.333333333333336,32.13333333333333,32.233333333333334
32.733333333333334,33.7,32.96666666666667,32.96666666666667,32.833333333333336,32.8
33.333333333333336,34.3,33.6,33.666666666666664,33.56666666666667,33.333333333333336
33.86666666666667,34.93333333333333,34.13333333333333,34.56666666666667,34.233333333333334,34.0
34.5,35.56666666666667,34.86666666666667,35.3,34.86666666666667,34.733333333333334
35.1,36.166666666666664,35.56666666666667,36.03333333333333,35.5,35.36666666666667
35.733333333333334,36.96666666666667,36.2,36.666666666666664,36.166666666666664,35.93333333333333
36.333333333333336,37.6,36.766666666666666,37.233333333333334,36.766666666666666,36.4
36.93333333333333,38.2,37.36666666666667,37.96666666666667,37.5,37.06666666666667
37.63333333333333,38.733333333333334,38.1,38.43333333333333,38.166666666666664,37.766666666666666
38.4,39.3,38.733333333333334,39.233333333333334,38.733333333333334,38.3
39.13333333333333,39.93333333333333,39.3,39.93333333333333,39.53333333333333,38.8
39.733333333333334,40.53333333333333,40.03333333333333,40.333333333333336,40.166666666666664,39.233333333333334
40.3,41.233333333333334,40.56666666666667,40.96666666666667,40.766666666666666,39.8
40.733333333333334,41.86666666666667,41.2,41.36666666666667,41.46666666666667,40.46666666666667
41.333333333333336,42.4,41.833333333333336,42.1,41.8,41.0
41.86666666666667,42.8,42.4,42.6,42.5,41.53333333333333
42.36666666666667,43.3,42.833333333333336,43.03333333333333,43.2,42.06666666666667
42.9,43.833333333333336,43.233333333333334,43.6,43.7,42.6
43.5,44.333333333333336,43.86666666666667,44.1,44.266666666666666,43.36666666666667
43.93333333333333,44.93333333333333,44.36666666666667,44.833333333333336,44.833333333333336,43.9
44.63333333333333,45.333333333333336,45.13333333333333,45.43333333333333,45.4,44.5
45.13333333333333,45.93333333333333,45.733333333333334,45.93333333333333,45.93333333333333,45.06666666666667
45.6,46.6,46.233333333333334,46.333333333333336,46.43333333333333,45.8
46.233333333333334,47.06666666666667,46.6,46.8,46.93333333333333,46.2
46.833333333333336,47.56666666666667,47.03333333333333,47.2,47.63333333333333,46.733333333333334
47.4,48.03333333333333,47.5,47.7,48.03333333333333,47.1
47.833333333333336,48.5,48.03333333333333,48.2,48.7,47.8
48.3,48.96666666666667,48.5,48.56666666666667,49.13333333333333,48.333333333333336
48.733333333333334,49.53333333333333,48.93333333333333,49.13333333333333,49.666666666666664,48.9
49.13333333333333,50.233333333333334,49.333333333333336,49.63333333333333,50.1,49.4
49.666666666666664,50.733333333333334,49.8,50.13333333333333,50.63333333333333,49.86666666666667
50.3,51.3,50.36666666666667,50.733333333333334,51.233333333333334,50.3
50.833333333333336,51.766666666666666,50.766666666666666,51.13333333333333,51.8,50.86666666666667
51.4,52.233333333333334,51.233333333333334,51.7,52.333333333333336,51.4
51.86666666666667,52.9,51.8,52.266666666666666,52.8,52.03333333333333
52.333333333333336,53.4,52.3,52.833333333333336,53.233333333333334,52.6
52.733333333333334,53.86666666666667,52.7,53.3,53.56666666666667,53.06666666666667
53.2,54.266666666666666,53.1,53.9,54.03333333333333,53.53333333333333
53.63333333333333,54.8,53.53333333333333,54.36666666666667,54.53333333333333,53.96666666666667
54.06666666666667,55.1,53.86666666666667,54.733333333333334,54.833333333333336,54.5
54.5,55.56666666666667,54.46666666666667,55.2,55.233333333333334,55.0
55.0,56.0,55.0,55.666666666666664,55.666666666666664,55.43333333333333
55.4,56.36666666666667,55.333333333333336,56.06666666666667,56.166666666666664,55.8
55.7,56.86666666666667,55.8,56.53333333333333,56.53333333333333,56.2
56.03333333333333,57.3,56.233333333333334,56.96666666666667,57.06666666666667,56.8
56.43333333333333,57.766666666666666,56.63333333333333,57.5,57.46666666666667,57.2
56.833333333333336,58.266666666666666,56.96666666666667,57.86666666666667,58.0,57.56666666666667
57.266666666666666,58.733333333333334,57.333333333333336,58.3,58.5,57.9
57.7,59.2,57.7,58.63333333333333,58.9,58.3
