clique,erdos-renyi,lattice (d=100),lattice (d=50),"watts-strogatz (d=50, p=3%)","watts-strogatz (d=50, p=5%)"
113.76666666666667,111.93333333333334,113.86666666666666,113.63333333333334,114.16666666666667,113.43333333333334
115.23333333333333,113.3,115.33333333333333,115.0,115.6,114.96666666666667
116.66666666666667,114.83333333333333,116.76666666666667,116.56666666666666,117.1,116.53333333333333
118.06666666666666,116.53333333333333,118.16666666666667,118.06666666666666,118.46666666666667,117.93333333333334
119.6,117.96666666666667,119.63333333333334,119.56666666666666,119.96666666666667,119.4
121.23333333333333,119.53333333333333,121.2,121.1,121.56666666666666,120.83333333333333
122.7,121.0,122.6,122.46666666666667,123.13333333333334,122.4
124.26666666666667,122.43333333333334,124.06666666666666,124.0,124.66666666666667,123.93333333333334
125.66666666666667,124.03333333333333,125.6,125.53333333333333,126.13333333333334,125.46666666666667
127.13333333333334,125.36666666666666,127.1,127.1,127.5,127.03333333333333
128.5,126.73333333333333,128.36666666666667,128.56666666666666,128.76666666666668,128.43333333333334
129.96666666666667,128.03333333333333,129.76666666666668,130.16666666666666,130.23333333333332,129.86666666666667
131.4,129.53333333333333,131.2,131.63333333333333,131.66666666666666,131.23333333333332
132.83333333333334,130.63333333333333,132.53333333333333,133.0,132.86666666666667,132.76666666666668
134.23333333333332,132.0,134.13333333333333,134.46666666666667,134.13333333333333,134.26666666666668
135.73333333333332,133.23333333333332,135.66666666666666,135.93333333333334,135.56666666666666,135.56666666666666
137.13333333333333,134.53333333333333,137.0,137.33333333333334,137.06666666666666,136.83333333333334
138.4,135.96666666666667,138.46666666666667,138.76666666666668,138.43333333333334,138.1
139.73333333333332,137.23333333333332,139.83333333333334,140.16666666666666,139.93333333333334,139.7
141.13333333333333,138.53333333333333,141.23333333333332,141.7,141.33333333333334,141.1
142.53333333333333,139.86666666666667,142.53333333333333,143.06666666666666,142.83333333333334,142.4
143.9,141.3,143.9,144.43333333333334,144.33333333333334,143.73333333333332
145.33333333333334,142.66666666666666,145.26666666666668,145.63333333333333,145.7,145.13333333333333
146.73333333333332,143.93333333333334,146.66666666666666,147.06666666666666,147.13333333333333,146.6
148.03333333333333,145.03333333333333,148.06666666666666,148.43333333333334,148.46666666666667,148.23333333333332
149.46666666666667,146.43333333333334,149.5,149.9,149.73333333333332,149.56666666666666
150.93333333333334,147.6,150.96666666666667,151.33333333333334,151.06666666666666,150.96666666666667
152.33333333333334,148.86666666666667,152.3,152.8,152.4,152.23333333333332
153.7,150.33333333333334,153.73333333333332,154.23333333333332,153.73333333333332,153.56666666666666
155.0,151.7,155.16666666666666,155.73333333333332,155.3,154.93333333333334
156.36666666666667,152.66666666666666,156.6,157.2,156.7,156.23333333333332
157.83333333333334,153.76666666666668,158.06666666666666,158.43333333333334,158.16666666666666,157.63333333333333
159.23333333333332,155.06666666666666,159.5,159.83333333333334,159.4,158.96666666666667
160.73333333333332,156.4,161.03333333333333,161.2,160.66666666666666,160.1
162.03333333333333,157.53333333333333,162.26666666666668,162.63333333333333,162.06666666666666,161.46666666666667
