clique,erdos-renyi,lattice (d=100),lattice (d=50),"watts-strogatz (d=50, p=3%)","watts-strogatz (d=50, p=5%)"
0.00014439650539503719,0.0008177755063988045,0.00011390352262653586,0.00011620216699029007,0.0002226688489116774,0.0002254786610534298
0.00014439650539503719,0.0008502275070791601,0.00011390352262653586,0.00011937374961001733,0.0002226688489116774,0.00023123372551015173
0.00014439650539503719,0.0008621880206104864,0.00011390352262653586,0.00011937374961001733,0.0002226688489116774,0.00023123372551015173
0.00014439650539503719,0.0008898253333564494,0.00011390352262653586,0.00012799439334908104,0.00022562471778933397,0.00023123372551015173
0.00016004595766420772,0.0009009436534295692,0.00011390352262653586,0.00012799439334908104,0.00023711500849368878,0.00023123372551015173
0.00016004595766420772,0.0009293465261143462,0.00011390352262653586,0.0001357517434382905,0.00023711500849368878,0.00023123372551015173
0.00016004595766420772,0.0009831870240457293,0.00011390352262653586,0.00013770494473521619,0.0002534769695177753,0.00024145553885983993
0.00016004595766420772,0.0009964126392228443,0.00011390352262653586,0.00013770494473521619,0.0002534769695177753,0.00024145553885983993
0.00020120474556142192,0.0010079657405922147,0.00011390352262653586,0.00014119425001453507,0.0002642192619229746,0.0002459771521714695
0.00020120474556142192,0.0010139534060014715,0.00011390352262653586,0.00014119425001453507,0.0002700641388883145,0.00025294336603423514
0.0002232798007490599,0.0010317242856230902,0.000126818413495708,0.00014119425001453507,0.0002700641388883145,0.0002650294187294249
0.0002232798007490599,0.0010317242856230902,0.000126818413495708,0.00014119425001453507,0.00028859866740613794,0.00027521375521990247
0.00024073180772986267,0.0010474923197668047,0.000126818413495708,0.0001444604520761788,0.00029973204527298267,0.00029551810983354036
0.0002497725816201077,0.0010679850889689312,0.000126818413495708,0.0001444604520761788,0.00031835269477804254,0.00030761732338465954
0.0002497725816201077,0.0010839639835808945,0.000126818413495708,0.0001444604520761788,0.00032969582215110503,0.00030761732338465954
0.0002622944949684673,0.0010920960483121298,0.000126818413495708,0.0001444604520761788,0.00032969582215110503,0.00030761732338465954
0.0002622944949684673,0.0011203609389580243,0.00013548768094260875,0.0001444604520761788,0.0003362912581094219,0.0003371353146940539
0.00028053934079952007,0.0011246820866548527,0.00013548768094260875,0.0001444604520761788,0.0003362912581094219,0.0003539866692794886
0.00028053934079952007,0.0011618340729229642,0.00013548768094260875,0.00014730023170927926,0.00033924712698707844,0.0003539866692794886
0.0002979913477803228,0.0011703885055333828,0.00013548768094260875,0.0001492534330062049,0.0003470718531216637,0.0003539866692794886
0.0002979913477803228,0.0011925199905100856,0.00013548768094260875,0.0001492534330062049,0.0003470718531216637,0.0003539866692794886
0.0002979913477803228,0.0012102265367119316,0.00013548768094260875,0.00015701078309541443,0.0003470718531216637,0.00035995931456408515
0.0002979913477803228,0.0012161503563908607,0.00015418276413572892,0.00015787306763206585,0.0003470718531216637,0.00035995931456408515
0.0002979913477803228,0.0012316258411917125,0.00015418276413572892,0.00016214366724009183,0.0003470718531216637,0.00035995931456408515
0.0002979913477803228,0.0012316258411917125,0.00015418276413572892,0.00016558270848233863,0.0003470718531216637,0.0003698241660980696
0.0002979913477803228,0.0012491896340247307,0.00015418276413572892,0.0001715866613240181,0.00037716963872124533,0.0003698241660980696
